"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Afghanistan","2013","2.95","1.22","0.18","0.10","0.09","0.37"
"Albania","2013","13.08","","0.72","0.35","0.28","1.36"
"Antigua and Barbuda","2013","","","","","1.11","1.11"
"Armenia","2013","8.00","0.54","1.81","1.58","0.64","4.03"
"Azerbaijan","2013","","7.44","5.31","2.12","0.53","7.97"
"Bahamas","2013","39.75","0.00","0.00","0.79","0.26","1.06"
"Bangladesh","2013","6.21","0.02","0.04","0.08","0.04","0.17"
"Barbados","2013","3.86","0.00","0.00","0.70","0.35","1.05"
"Belarus","2013","15.36","2.86","4.11","2.79","0.55","7.45"
"Belize","2013","12.05","12.05","1.21","0.30","0.60","2.11"
"Benin","2013","","5.45","0.25","0.05","0.11","0.41"
"Bhutan","2013","25.47","1.59","1.33","0.27","0.13","1.72"
"Bolivia (Plurinational State of)","2013","13.79","8.78","0.78","","0.29","1.07"
"Bosnia and Herzegovina","2013","42.04","0.00","0.03","0.86","0.13","1.02"
"Botswana","2013","","","0.79","0.35","0.15","1.29"
"Brunei Darussalam","2013","3.35","0.48","0.72","0.48","0.24","1.44"
"Burkina Faso","2013","","11.89","0.25","0.00","0.05","0.31"
"Burundi","2013","0.00","5.01","0.32","0.15","0.03","0.50"
"Cabo Verde","2013","33.47","3.81","0.60","0.00","0.40","1.00"
"Cambodia","2013","0.75","6.55","0.40","0.11","0.06","0.57"
"Cameroon","2013","7.43","0.63","0.67","0.08","0.04","0.79"
"Canada","2013","","","0.85","1.29","0.13","2.27"
"Central African Republic","2013","12.17","1.99","0.28","0.11","0.09","0.48"
"Chad","2013","5.88","0.00","0.50","0.15","0.01","0.65"
"Chile","2013","10.69","0.12","0.57","0.12","0.35","1.04"
"Comoros","2013","7.08","1.63","0.27","0.27","0.14","0.68"
"Costa Rica","2013","2.11","0.70","0.27","0.29","0.29","0.84"
"Côte d'Ivoire","2013","","11.83","1.16","0.45","0.10","1.71"
"Croatia","2013","0.84","0.30","0.51","0.68","0.35","1.54"
"Cuba","2013","7.53","0.64","0.15","1.46","0.43","2.04"
"Cyprus","2013","","3.33","","6.92","0.61","7.54"
"Czechia","2013","224.84","0.16","0.40","0.64","0.25","1.29"
"Democratic People's Republic of Korea","2013","25.16","3.91","6.33","0.53","","6.86"
"Democratic Republic of the Congo","2013","","","0.43","0.02","","0.45"
"Denmark","2013","69.07","4.47","0.52","0.41","0.09","1.01"
"Dominica","2013","84.72","0.00","2.78","2.78","0.00","5.56"
"Ecuador","2013","2.91","0.36","0.05","0.18","0.10","0.33"
"Egypt","2013","0.38","0.25","0.50","","0.12","0.62"
"El Salvador","2013","9.84","0.05","0.39","0.03","0.05","0.47"
